,X,organism,bigg_id,gene_count,metabolite_count,reaction_count,isEco55,taxid,pubMedId,year
33,43,Escherichia coli LF82,iLF82_1304,1302,1940,2727,TRUE,591946,24277855,2013
34,44,Escherichia coli NA114,iECNA114_1301,1301,1927,2719,TRUE,1033813,24277855,2013
35,45,Escherichia coli O103:H2 str. 12009,iECO103_1326,1327,1958,2759,TRUE,585395,24277855,2013
36,46,Escherichia coli O111:H- str. 11128,iECO111_1330,1328,1959,2761,TRUE,585396,24277855,2013
37,47,Escherichia coli O127:H6 str. E2348/69,iE2348C_1286,1284,1919,2704,TRUE,574521,24277855,2013
38,48,Escherichia coli O157:H7 str. EC4115,iECH74115_1262,1262,1918,2695,TRUE,444450,24277855,2013
39,49,Escherichia coli O157:H7 str. EDL933,iZ_1308,1308,1923,2722,TRUE,155864,24277855,2013
40,50,Escherichia coli O157:H7 str. Sakai,iECs_1301,1301,1923,2721,TRUE,386585,24277855,2013
41,51,Escherichia coli O157:H7 str. TW14359,iECSP_1301,1299,1920,2713,TRUE,544404,24277855,2013
42,52,Escherichia coli O26:H11 str. 11368,iECO26_1355,1355,1965,2781,TRUE,573235,24277855,2013
43,53,Escherichia coli O55:H7 str. CB9615,iG2583_1286,1283,1919,2705,TRUE,701177,24277855,2013
44,54,Escherichia coli O83:H1 str. NRG 857C,iNRG857_1313,1311,1945,2736,TRUE,685038,24277855,2013
45,55,Escherichia coli S88,iECS88_1305,1305,1944,2730,TRUE,585035,24277855,2013
46,56,Escherichia coli SE11,iECSE_1348,1348,1957,2769,TRUE,409438,24277855,2013
47,57,Escherichia coli SE15,iECSF_1327,1327,1951,2743,TRUE,431946,24277855,2013
48,58,Escherichia coli SMS-3-5,iEcSMS35_1347,1347,1949,2747,TRUE,439855,24277855,2013
49,59,Escherichia coli str. K-12 substr. DH10B,iECDH10B_1368,1327,1947,2743,TRUE,316385,24277855,2013
50,60,Escherichia coli str. K-12 substr. MG1655,iAF1260,1261,1668,2382,FALSE,511145,17593909,2007
51,66,Escherichia coli str. K-12 substr. MG1655,iAF1260b,1261,1668,2388,FALSE,511145,19840862,2010
52,72,Escherichia coli str. K-12 substr. MG1655,e_coli_core,137,72,95,FALSE,511145,26443778,2010
53,78,Escherichia coli str. K-12 substr. MG1655,iJO1366,1367,1805,2583,TRUE,511145,21988831,2011
54,84,Escherichia coli str. K-12 substr. MG1655,iJR904,904,761,1075,FALSE,511145,12952533,2003
55,90,Escherichia coli str. K-12 substr. MG1655,iML1515,1516,1877,2712,FALSE,511145,29020004,2017
56,96,Escherichia coli str. K-12 substr. W3110,iY75_1357,1358,1953,2760,TRUE,316407,24277855,2013
57,98,Escherichia coli str. K-12 substr. W3110,iEC1372_W3110,1372,1918,2758,FALSE,316407,27667363,2016
58,100,Escherichia coli UM146,iUMN146_1321,1319,1944,2736,TRUE,869729,24277855,2013
59,101,Escherichia coli UMN026,iECUMN_1333,1332,1935,2741,TRUE,585056,24277855,2013
60,102,Escherichia coli UMNK88,iUMNK88_1353,1353,1971,2778,TRUE,696406,24277855,2013
61,103,Escherichia coli UTI89,iUTI89_1310,1310,1942,2726,TRUE,364106,24277855,2013
62,104,Escherichia coli W,iECW_1372,1372,1975,2783,TRUE,566546,24277855,2013
63,107,Escherichia coli W,iWFL_1372,1372,1975,2783,TRUE,566546,24277855,2013
64,110,Escherichia coli W,iEC1364_W,1364,1927,2764,FALSE,566546,27667363,2016
65,113,Geobacter metallireducens GS-15,iAF987,987,1109,1285,FALSE,269799,24762737,2014
66,114,Helicobacter pylori 26695,iIT341,339,485,554,FALSE,85962,16077130,2005
67,115,Klebsiella pneumoniae subsp. pneumoniae MGH 78578,iYL1228,1229,1658,2262,FALSE,272620,21296962,2011
68,116,Lactococcus lactis subsp. cremoris MG1363,iNF517,516,650,754,FALSE,416870,23974365,2013
69,117,Methanosarcina barkeri str. Fusaro,iAF692,692,628,690,FALSE,269797,16738551,2006
70,118,Mycobacterium tuberculosis H37Rv,iEK1008,1008,998,1226,FALSE,83332,29499714,2018
71,120,Mycobacterium tuberculosis H37Rv,iNJ661,661,826,1025,FALSE,83332,17555602,2007
72,122,Phaeodactylum tricornutum CCAP 1055/1,iLB1027_lipid,1027,2172,4456,FALSE,556484,27152931,2016
73,123,Plasmodium berghei,iAM_Pb448,448,903,1067,FALSE,5821,29300748,2018
74,124,Plasmodium cynomolgi strain B,iAM_Pc455,455,907,1074,FALSE,1120755,29300748,2018
75,125,Plasmodium falciparum 3D7,iAM_Pf480,480,909,1083,FALSE,36329,29300748,2018
76,126,Plasmodium knowlesi strain H,iAM_Pk459,459,909,1079,FALSE,5851,29300748,2018
77,127,Plasmodium vivax Sal-1,iAM_Pv461,461,909,1078,FALSE,126793,29300748,2018
78,128,Pseudomonas putida KT2440,iJN746,746,909,1056,FALSE,160488,18793442,2008
79,130,Pseudomonas putida KT2440,iJN1463,1452,2153,2927,FALSE,160488,,2020
80,132,Saccharomyces cerevisiae S288c,iND750,750,1059,1266,FALSE,559292,15197165,2004
81,134,Saccharomyces cerevisiae S288c,iMM904,905,1226,1577,FALSE,559292,19321003,2009
82,136,Salmonella enterica subsp. enterica serovar Typhimurium str. LT2,STM_v1_0,1271,1802,2545,FALSE,99287,21244678,2011
83,137,Salmonella pan-reactome,iYS1720,1707,2436,3357,FALSE,NA,30218022,2018
84,138,Shigella boydii CDC 3083-94,iSbBS512_1146,1147,1912,2592,TRUE,344609,24277855,2013
85,139,Shigella boydii Sb227,iSBO_1134,1134,1910,2592,TRUE,300268,24277855,2013
86,140,Shigella dysenteriae Sd197,iSDY_1059,1059,1890,2540,TRUE,300267,24277855,2013
87,141,Shigella flexneri 2002017,iSFxv_1172,1169,1918,2639,TRUE,591020,24277855,2013
88,142,Shigella flexneri 2a str. 2457T,iS_1188,1188,1914,2620,TRUE,198215,24277855,2013
89,143,Shigella flexneri 2a str. 301,iSF_1195,1195,1917,2631,TRUE,198214,24277855,2013
90,144,Shigella flexneri 5 str. 8401,iSFV_1184,1184,1917,2622,TRUE,373384,24277855,2013
91,145,Shigella sonnei Ss046,iSSON_1240,1240,1938,2694,TRUE,300269,24277855,2013
92,146,Staphylococcus aureus subsp. aureus N315,iSB619,619,655,743,FALSE,158879,15752426,2005
93,147,Staphylococcus aureus subsp. aureus USA300_TCH1516,iYS854,866,1335,1455,FALSE,451516,30625152,2019
94,148,Synechococcus elongatus PCC 7942,iJB785,785,768,849,FALSE,1140,27911809,2016
95,149,Synechocystis sp. PCC 6803,iJN678,622,795,863,FALSE,1148,22308420,2012
96,151,Synechocystis sp. PCC 6803,iSynCJ816,816,928,1044,FALSE,1148,10.1016/j.algal.2017.09.013,2017
97,153,Thermotoga maritima MSB8,iLJ478,482,570,652,FALSE,243274,19762644,2009
98,154,Trypanosoma cruzi Dm28c,iIS312,312,606,519,FALSE,1416333,,2020
99,158,Trypanosoma cruzi Dm28c,iIS312_Epimastigote,312,606,519,FALSE,1416333,,2020
100,162,Trypanosoma cruzi Dm28c,iIS312_Amastigote,312,606,519,FALSE,1416333,,2020
101,166,Trypanosoma cruzi Dm28c,iIS312_Trypomastigote,312,606,519,FALSE,1416333,,2020
102,170,Yersinia pestis CO92,iPC815,815,1552,1961,FALSE,214092,21995956,2011
